transaction_id,user_id,date,merchant,amount,category_detail,category_primary,payment_method,payment_media
TXN000001,USR055,2024-10-03 20:33:48,Santika Hotel,685500.0,travel,Wants,Transfer,BSI
TXN000002,USR064,2024-12-03 05:09:38,SPA Reflexology,166000.0,self_care,Wants,Transfer,Gopay
TXN000003,USR043,2024-02-19 20:15:58,RedDoorz,901500.0,travel,Wants,Credit Card,BRI
TXN000004,USR041,2023-11-18 01:04:49,Adobe Creative Cloud,192500.0,education,Wants,Transfer,Jenius
TXN000005,USR041,2024-01-05 19:15:44,Smartfren,65000.0,utilities,Needs,QRIS,BRI
TXN000006,USR008,2023-01-18 12:03:06,Alfamidi,216000.0,groceries,Needs,Cash,Cash
TXN000007,USR024,2023-03-10 17:29:59,Skill Academy,326000.0,education,Wants,Credit Card,CIMB Niaga
TXN000008,USR033,2024-07-11 10:02:44,Netflix,92000.0,entertainment,Wants,QRIS,ShopeePay
TXN000009,USR073,2023-10-08 17:14:01,Mobile Legends,183500.0,entertainment,Wants,Transfer,CIMB Niaga
TXN000010,USR042,2024-01-03 08:47:00,Cult Fitness,578000.0,health,Needs,Credit Card,Standard Chartered
TXN000011,USR024,2024-01-05 14:05:52,Starbucks,14000.0,food,Needs,QRIS,DANA
TXN000012,USR032,2024-07-26 22:19:20,Steam,80500.0,entertainment,Wants,Transfer,OVO
TXN000013,USR074,2024-03-15 23:15:30,Fore Coffee,30500.0,food,Needs,Debit,CIMB Niaga
TXN000015,USR022,2024-06-27 12:10:03,Tokocrypto,572000.0,investment,Investment,Debit,BNI
TXN000016,USR048,2024-10-08 16:22:00,AirAsia,2003500.0,travel,Wants,Credit Card,Citibank
TXN000017,USR033,2023-05-28 07:57:26,Citilink,2218000.0,travel,Wants,Credit Card,CIMB Niaga
TXN000018,USR012,2023-12-18 06:57:53,Gong Cha,19500.0,food,Needs,Credit Card,Citibank
TXN000019,USR017,2023-04-01 05:43:39,Pintu Crypto,139500.0,investment,Investment,Transfer,Jenius
TXN000020,USR004,2024-01-24 04:23:57,Innisfree,205500.0,self_care,Wants,Debit,BCA
TXN000021,USR046,2024-11-02 08:28:54,Ruangguru,322000.0,education,Wants,Transfer,OVO
TXN000022,USR063,2024-09-08 12:30:58,First Media,279500.0,utilities,Needs,QRIS,Mandiri
TXN000023,USR051,2023-08-20 22:55:12,Citilink,2380500.0,travel,Wants,Credit Card,Mandiri
TXN000024,USR005,2023-08-29 14:20:36,Netflix,185500.0,entertainment,Wants,Transfer,Gopay
TXN000025,USR063,2024-12-12 23:35:35,PDAM,168500.0,utilities,Needs,Credit Card,Citibank
TXN000026,USR010,2023-08-27 00:24:57,Luxcrime,446000.0,self_care,Wants,QRIS,Gopay
TXN000027,USR072,2023-09-21 15:01:46,PDAM,118500.0,utilities,Needs,Debit,BTN
TXN000028,USR054,2024-10-04 05:51:41,Lawson,98000.0,groceries,Needs,QRIS,Mandiri
TXN000029,USR068,2023-07-13 17:14:39,MyXL,389000.0,utilities,Needs,QRIS,ShopeePay
TXN000030,USR072,2024-11-25 12:00:06,Pertamina,60500.0,transport,Needs,Transfer,BCA
TXN000031,USR036,2024-12-29 15:34:35,Stockbit,1197000.0,investment,Investment,Debit,BCA
TXN000032,USR074,2024-10-23 00:14:42,Santika Hotel,1848500.0,travel,Wants,Transfer,BRI
TXN000033,USR032,2023-05-11 23:31:50,Shell,40500.0,transport,Needs,Debit,BTN
TXN000034,USR059,2023-01-26 12:10:21,Mobile Legends,28000.0,entertainment,Wants,Transfer,Gopay
TXN000035,USR068,2024-01-31 09:12:08,Hypermart,323000.0,groceries,Needs,Cash,Cash
TXN000036,USR003,2023-11-06 16:37:20,Nintendo eShop,40500.0,entertainment,Wants,Debit,Jenius
TXN000037,USR053,2024-09-24 10:38:28,Adidas,251000.0,shopping,Wants,Credit Card,BNI
TXN000038,USR064,2023-05-06 16:22:00,Udemy,175500.0,education,Wants,Credit Card,BCA
TXN000039,USR053,2023-12-03 23:40:08,Skill Academy,321000.0,education,Wants,Transfer,BSI
TXN000040,USR032,2024-04-15 02:13:30,A&W,89000.0,food,Needs,QRIS,Mandiri
TXN000041,USR043,2024-06-23 09:09:53,Xbox Game Pass,145000.0,entertainment,Wants,QRIS,BCA
TXN000042,USR031,2023-04-03 15:35:19,Roblox,197500.0,entertainment,Wants,QRIS,LinkAja
TXN000044,USR026,2023-06-14 00:06:49,Fit Hub,95000.0,health,Needs,Transfer,DANA
TXN000045,USR025,2023-10-26 15:02:54,Somethinc,186500.0,self_care,Wants,Debit,BRI
TXN000046,USR006,2023-08-24 18:52:09,Airbnb,60000.0,travel,Wants,Credit Card,BNI
TXN000047,USR019,2024-03-30 12:04:55,Indomaret,60000.0,groceries,Needs,Cash,Cash
TXN000048,USR063,2023-10-30 09:51:00,PLN Mobile,63000.0,utilities,Needs,Transfer,CIMB Niaga
TXN000049,USR062,2023-02-05 00:16:56,Gojek,52000.0,transport,Needs,Cash,Cash
TXN000050,USR034,2023-12-08 15:23:03,PDAM,338000.0,utilities,Needs,Credit Card,BNI
TXN000051,USR001,2023-11-14 23:52:43,Zenius,194000.0,education,Wants,QRIS,Gopay
TXN000052,USR045,2023-03-30 03:54:02,Somethinc,408500.0,self_care,Wants,QRIS,BCA
TXN000053,USR044,2024-04-16 10:26:40,Es Teh Indonesia,84500.0,food,Needs,Cash,Cash
TXN000054,USR074,2024-04-06 02:40:02,Roblox,101500.0,entertainment,Wants,QRIS,Mandiri
TXN000055,USR024,2023-01-06 18:29:39,Dicoding,82000.0,education,Wants,Credit Card,CIMB Niaga
TXN000056,USR071,2024-08-26 17:53:15,Indodax,1133000.0,investment,Investment,Credit Card,BCA
TXN000057,USR033,2023-09-28 16:15:59,Free Fire,44500.0,entertainment,Wants,Credit Card,CIMB Niaga
TXN000058,USR015,2022-12-27 04:47:18,Pluang,442500.0,investment,Investment,Transfer,DANA
TXN000059,USR006,2023-11-18 01:55:40,Dicoding,441500.0,education,Wants,Credit Card,Standard Chartered
TXN000060,USR064,2024-10-26 12:14:24,AirAsia,1379000.0,travel,Wants,QRIS,BRI
TXN000061,USR014,2024-05-13 19:59:01,Zenius,76000.0,education,Wants,Credit Card,BNI
TXN000062,USR022,2024-06-03 13:21:58,PDAM,234000.0,utilities,Needs,QRIS,OVO
TXN000063,USR005,2024-06-16 05:40:48,Watson,340000.0,health,Needs,Debit,BCA
TXN000064,USR006,2024-11-21 20:20:07,Daiso,276000.0,shopping,Wants,QRIS,Gopay
